0	0.00000	0
5	0.00010	-9.52381E-05
10	0.00019	-0.000190476
15	0.00029	-0.000285714
20	0.00038	-0.000380952
25	0.00048	-0.00047619
30	0.00057	-0.000571429
35	0.00067	-0.000666667
40	0.00076	-0.000761905
45	0.00086	-0.000857143
50	0.00095	-0.000952381
55	0.00105	-0.001047619
60	0.00114	-0.001142857
65	0.00124	-0.001238095
70	0.00133	-0.001333333
75	0.00143	-0.001428571
80	0.00152	-0.00152381
85	0.00162	-0.001619048
90	0.00171	-0.001714286
95	0.00181	-0.001809524
100	0.00190	-0.001904762
105	0.00200	-0.002001
110	0.00210	-0.00210159
115	0.00220	-0.00220159
120	0.00230	-0.00230159
125	0.00240	-0.00240159
130	0.00250	-0.00250159
135	0.00260	-0.00260159
140	0.00270	-0.00270159
150	0.00298	-0.002978
155	0.00316	-0.00316
152.5	0.00340	-0.00340026
146	0.00350	-0.00350105
145	0.00360	-0.00360092
136.5	0.00370	-0.00370011
136	0.00375	-0.00375
126	0.00385	-0.00385
124.5	0.00398	-0.00398
124.4	0.00400	-0.004
122	0.00420	-0.0042
114	0.00450	-0.0045
101	0.00500	-0.005
90	0.00550	-0.0055
84	0.00565	-0.00565
80	0.00600	-0.006
75	0.00625	-0.00625
62	0.00675	-0.00675
64.5	0.00700	-0.007
57	0.00750	-0.0075
59	0.00760	-0.0076
55	0.00785	-0.00785
56.8	0.00800	-0.008
52.5	0.00875	-0.00875
54.5	0.00885	-0.00885
50	0.00950	-0.0095
45	0.01040	-0.0104
47.5	0.01050	-0.0105
44.5	0.01100	-0.011
44	0.01200	-0.012
